                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3148,                 1.8146,                  1.558,                0.57863,                 0.6409,                0.63728,                0.37951,                 1.2327,                 2.5289,                 1.4244,                0.00036,                0.00036,                0.00036
                      2,                 1.2941,                 1.4675,                 1.4699,                0.42974,                0.58333,                0.45574,                0.19872,                 1.8266,                 3.5311,                 1.9992,             0.00070337,             0.00070337,             0.00070337
                      3,                 1.4524,                 1.3915,                   1.57,                0.42104,                0.58333,                 0.4523,                 0.2246,                 1.9179,                 4.1959,                  2.667,              0.0010091,              0.0010091,              0.0010091
                      4,                 1.4644,                 1.3902,                 1.5926,                0.48846,                0.53333,                0.47512,                0.17795,                 1.9829,                   2.94,                 2.4728,              0.0012773,              0.0012773,              0.0012773
                      5,                 1.5528,                 1.5438,                  1.716,                0.19682,                0.61667,                0.38784,                0.15413,                 1.9122,                 13.287,                 2.3929,              0.0015078,              0.0015078,              0.0015078
                      6,                 1.5058,                 1.4916,                 1.6758,                0.22187,                0.42773,                0.24365,                0.09459,                 2.3767,                  9.008,                 3.0381,               0.001505,               0.001505,               0.001505
                      7,                 1.5111,                 1.4023,                 1.6646,                0.35154,                0.51667,                0.34845,                0.11526,                 2.2294,                 4.2244,                 2.5579,               0.001406,               0.001406,               0.001406
                      8,                 1.4882,                 1.3798,                  1.654,                0.45707,                0.51667,                0.48366,                0.23829,                 1.7543,                 5.2596,                 2.1913,               0.001307,               0.001307,               0.001307
                      9,                 1.4311,                 1.3684,                 1.6455,                0.62647,                0.55914,                0.53897,                0.27928,                 1.6837,                 3.5132,                 2.0879,               0.001208,               0.001208,               0.001208
                     10,                 1.3799,                  1.262,                 1.5864,                0.56566,                0.49924,                0.50644,                0.22445,                 1.8021,                 2.9541,                 2.1184,               0.001109,               0.001109,               0.001109
                     11,                 1.4004,                 1.2225,                 1.6361,                0.61166,                0.66667,                0.60123,                0.33448,                 1.4188,                 2.3266,                 1.6982,                0.00101,                0.00101,                0.00101
                     12,                 1.2424,                 1.0335,                 1.5125,                0.67837,                0.59764,                0.63804,                0.39178,                 1.4847,                 1.8264,                 1.8076,               0.000911,               0.000911,               0.000911
                     13,                 1.2074,                0.95097,                 1.4933,                0.72402,                   0.65,                 0.7254,                0.41534,                 1.4028,                 1.6082,                 1.6215,               0.000812,               0.000812,               0.000812
                     14,                 1.2029,                0.91776,                 1.5168,                0.68335,                0.66667,                 0.6922,                0.38376,                 1.3475,                 1.4228,                 1.5538,               0.000713,               0.000713,               0.000713
                     15,                 1.1323,                0.84643,                   1.47,                0.79231,                0.69938,                0.78667,                0.52411,                 1.1551,                 1.0687,                 1.4479,               0.000614,               0.000614,               0.000614
                     16,                 1.0228,                 0.7604,                 1.3591,                0.88256,                    0.7,                0.81986,                0.52995,                 1.1765,                 1.0357,                 1.4725,               0.000515,               0.000515,               0.000515
                     17,                 1.0215,                0.73861,                 1.3398,                0.66074,                    0.7,                0.71982,                0.49145,                 1.2389,                 1.2326,                  1.509,               0.000416,               0.000416,               0.000416
                     18,                0.97196,                0.71369,                  1.315,                0.87678,                0.59307,                0.74192,                0.51315,                 1.0996,                 1.0889,                 1.4144,               0.000317,               0.000317,               0.000317
                     19,                0.92778,                0.66977,                 1.2567,                0.79921,                0.72976,                0.79168,                0.55096,                 1.0877,                 1.0733,                 1.3822,               0.000218,               0.000218,               0.000218
                     20,                0.93458,                0.65289,                 1.2624,                0.70638,                0.80194,                 0.8108,                0.56911,                 1.0463,                 1.0562,                 1.3623,               0.000119,               0.000119,               0.000119
